"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"94",7,"Carlos Newton","loss","Ryo Chonan","Pride - Bushido 5Oct / 14 / 2004","Decision (Unanimous)N/A","2","5:00",2004-10-14
"104",7,"Carlos Newton","loss","Daiju Takase","Pride - Bushido 3May / 23 / 2004","Decision (Split)N/A","2","5:00",2004-05-23
"113",7,"Carlos Newton","loss","Renato Verissimo","UFC 46 - SupernaturalJan / 31 / 2004","Decision (Unanimous)N/A","3","5:00",2004-01-31
"123",7,"Carlos Newton","win","Renzo Gracie","Pride - Bushido 1Oct / 05 / 2003","Decision (Split)N/A","2","5:00",2003-10-05
"133",7,"Carlos Newton","loss","Anderson Silva","Pride 25 - Body BlowMar / 16 / 2003","KO (Flying Knee and Punches)N/A","1","6:27",2003-03-16
"143",7,"Carlos Newton","win","Pete Spratt","UFC 40 - VendettaNov / 22 / 2002","Submission (Kimura)N/A","1","1:45",2002-11-22
"153",7,"Carlos Newton","loss","Matt Hughes","UFC 38 - Brawl at the HallJul / 13 / 2002","TKO (Punches)N/A","4","3:27",2002-07-13
"163",7,"Carlos Newton","win","Jose Landi-Jons","Pride 19 - Bad BloodFeb / 24 / 2002","Submission (Armbar)N/A","1","7:16",2002-02-24
"173",7,"Carlos Newton","loss","Matt Hughes","UFC 34 - High VoltageNov / 02 / 2001","KO (Slam)N/A","2","1:27",2001-11-02
"183",7,"Carlos Newton","win","Pat Miletich","UFC 31 - Locked & LoadedMay / 04 / 2001","Submission (Bulldog Choke)N/A","3","2:50",2001-05-04
"193",7,"Carlos Newton","loss","Dave Menne","Shidokan Jitsu - Warriors War 1Feb / 08 / 2001","Decision (Unanimous)N/A","1","10:00",2001-02-08
"202",7,"Carlos Newton","win","Johil de Oliveira","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-23
"216",7,"Carlos Newton","win","Naoki Sano","Pride 9 - New BloodJun / 04 / 2000","Submission (Armbar)Akira Okabayashi","1","0:40",2000-06-04
"223",7,"Carlos Newton","win","Karl Schmidt","WEF 9 - World ClassMay / 13 / 2000","Submission (Armbar)N/A","1","1:12",2000-05-13
"232",7,"Carlos Newton","win","Daijiro Matsui","Pride FC - Pride 6Jul / 04 / 1999","Decision (Unanimous)Akira Okabayashi","3","5:00",1999-07-04
"242",7,"Carlos Newton","win","Kenji Kawaguchi","Shooto - 10th Anniversary EventMay / 29 / 1999","Submission (Armbar)N/A","1","5:00",1999-05-29
"252",7,"Carlos Newton","loss","Kazushi Sakuraba","Pride FC - Pride 3Jun / 24 / 1998","Submission (Kneebar)Yuji Shimada","2","5:19",1998-06-24
"262",7,"Carlos Newton","loss","Dan Henderson","UFC 17 - RedemptionMay / 15 / 1998","Decision (Split)John McCarthy","1","15:00",1998-05-15
"272",7,"Carlos Newton","win","Bob Gilstrap","UFC 17 - RedemptionMay / 15 / 1998","Submission (Triangle Choke)John McCarthy","1","0:52",1998-05-15
"282",7,"Carlos Newton","win","Kazuhiro Kusayanagi","Shooto - Las Grandes Viajes 2Mar / 01 / 1998","Submission (Armbar)N/A","1","2:17",1998-03-01
"292",7,"Carlos Newton","win","Haim Gozali","Israel Fighting Championship - Israel vs. CanadaJan / 01 / 1998","Submission (Armbar)N/A","1","0:00",1998-01-01
"302",7,"Carlos Newton","win","Erik Paulson","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","Submission (Armbar)N/A","1","0:41",1997-11-29
"316",7,"Carlos Newton","loss","Jean Riviere","EF 2 - Extreme Fighting 2Apr / 26 / 1996","TKO (Exhaustion)John Donehue","1","7:22",1996-04-26
"217",8,"Ricco Rodriguez","loss","Hatef Moeil","CFS 9 - Cage Fight Series 9Feb / 02 / 2019","Decision (Unanimous)Wolfgang Hartl","3","5:00",2019-02-02
"317",8,"Ricco Rodriguez","loss","Alex Nicholson","AFC 24 - CamSoda LegendsApr / 26 / 2018","TKO (Submission to Punches)N/A","1","1:27",2018-04-26
"414",8,"Ricco Rodriguez","win","Nandor Guelmino","CFS 8 - Cage Fight Series 8Jan / 20 / 2018","Submission (Forearm Choke)Nebil Sebai","3","2:07",2018-01-20
"510",8,"Ricco Rodriguez","loss","Gilbert Yvel","WFCA 32 - Grozny BattleNov / 19 / 2016","TKO (Leg Kicks)Ashot Ashugyan","1","1:00",2016-11-19
"610",8,"Ricco Rodriguez","loss","Ivan Shtyrkov","Titov Boxing Promotion - Shtyrkov vs. RodriguezSep / 09 / 2016","TKO (Punches)N/A","1","1:55",2016-09-09
"710",8,"Ricco Rodriguez","loss","Denis Stojnic","BFC - Bosnia Fight Championship 2Jun / 13 / 2015","TKO (Punches)N/A","2","0:22",2015-06-13
"86",8,"Ricco Rodriguez","loss","Dion Staring","FFC  - Final Fight Championship 17Dec / 20 / 2014","TKO (Retirement)Zlatko Klaric","2","5:00",2014-12-20
"95",8,"Ricco Rodriguez","win","Nestoras Batzelas","FFC - Final Fight Championship 10Dec / 13 / 2013","TKO (Punches)Zlatko Klaric","2","3:33",2013-12-13
"105",8,"Ricco Rodriguez","NC","Denis Stojnic","BFC - Bosnia Fight Championship 1Nov / 09 / 2013","No ContestIsmar Sapcanin","1","4:55",2013-11-09
"114",8,"Ricco Rodriguez","win","Zelg Galesic","FFC - Final Fight Championship 8Oct / 25 / 2013","Submission (Armbar)Zlatko Klaric","1","3:50",2013-10-25
"124",8,"Ricco Rodriguez","loss","Ian Freeman","UCFC 5 - Legends of MMAJul / 27 / 2013","TKO (Punches)Marc Goddard","1","2:11",2013-07-27
"134",8,"Ricco Rodriguez","loss","Marcin Lazarz","GWC - The British Invasion: U.S. vs. U.K.Jun / 29 / 2013","Decision (Unanimous)Paul Wilkes","3","5:00",2013-06-29
"144",8,"Ricco Rodriguez","win","Tomaz Simonic","FFC - Final Fight Championship 5May / 24 / 2013","Submission (Armbar)Zlatko Klaric","1","3:49",2013-05-24
"154",8,"Ricco Rodriguez","win","Andreas Kraniotakes","CFS 7 - Cage Fight Series 7May / 12 / 2013","Decision (Unanimous)N/A","3","5:00",2013-05-12
"164",8,"Ricco Rodriguez","loss","Ante Delija","NG - Noc Gladiatora 7Dec / 21 / 2012","Decision (Unanimous)Zlatko Klaric","2","5:00",2012-12-21
"174",8,"Ricco Rodriguez","win","Kevin Thompson","UWC 21 - XplosionOct / 20 / 2012","Submission (Armbar)N/A","1","4:45",2012-10-20
"184",8,"Ricco Rodriguez","loss","Stav Economou","Dubai FC 1 - The BeginningMay / 04 / 2012","Decision (Unanimous)Alex Grimmer","3","5:00",2012-05-04
"194",8,"Ricco Rodriguez","loss","Ruslan Magomedov","United Glory 15 - 2012 Glory World SeriesMar / 23 / 2012","Decision (Unanimous)N/A","3","5:00",2012-03-23
